Title	channel_title	published_at	category_id	view_count	like_count	comment_count	favorite_count	duration	definition	caption	engagement_rate	likes_to_views_ratio	comments_to_views_ratio	duration_seconds	video_age_days
How many flags can you count? #travel #travelamore #traveling #travelvlog #trending #2024 #recap	Aakanksha Monga	2024-12-24 12:51:10+00:00	19	12243110	295266	3444	0	PT14S	hd	FALSE	0.024398211	0.02411691	0.000281301	14	328
A Police Fine In Thailand #thailand #travel #vlog	Dean McGarry	2025-01-11 10:15:26+00:00	22	8809956	451715	6610	0	PT1M4S	hd	FALSE	0.052023523	0.051273236	0.000750287	64	311
Breakfast #miniblog #bengali #kolkata #youtubeshorts #viral #bongjuti #travel #foodblogger	The Bong Juti	2024-04-26 02:52:28+00:00	22	10899109	314198	1102	0	PT59S	hd	FALSE	0.028928968	0.028827858	0.000101109	59	571
UNSEEN WONDERS | Hidden Places Even Locals Canâ€™t Believe Exist | Travel Video 4K	New Travel Insight	2025-04-10 11:27:27+00:00	19	8674561	21963	1282	0	PT1H11M2S	hd	FALSE	0.002679674	0.002531886	0.000147788	4262	221
Pakistan India border ðŸ˜±ðŸ˜±â›°ï¸ #mountainswiev #mountains #nature #travel #vlog #adventure	Towards_nature	2025-08-08 14:22:50+00:00	22	19417681	107340	267	0	PT8S	hd	FALSE	0.005541702	0.005527951	1.38E-05	8	101
Making a beat with a BABY! ðŸ˜­ðŸ¤£ #beatbox #musicproduction #loopstation	SungBeats	2024-08-02 17:58:36+00:00	10	369731024	3802072	22123	0	PT21S	hd	FALSE	0.010343181	0.010283346	5.98E-05	21	472
Jax Jones - Instruction ft. Demi Lovato, Stefflon Don	JaxJonesVEVO	2017-08-02 15:00:02+00:00	10	177942162	1638800	30054	0	PT2M58S	hd	TRUE	0.009378632	0.009209734	0.000168898	178	3029
HOW CHARLIE PUTH PRODUCED "LIGHT SWITCH" #charlieputh  #musicproducer	HOW SONGS ARE PRODUCED	2024-11-18 21:10:32+00:00	10	61537555	1843010	5019	0	PT1M5S	hd	FALSE	0.030030913	0.029949353	8.16E-05	65	364
Ð¡ Ð¼Ð¾Ð»Ð¾Ð´Ñƒ ÑÐµÐ´ÐµÑŽ-Ð”Ð°Ð½Ð¸ÐºÐ¾ Ð®ÑÑƒÐ¿Ð¾Ð²-Toto Music Production	Toto Aydinyan	2020-12-18 16:00:11+00:00	10	24822493	104331	5936	0	PT5M46S	hd	FALSE	0.004442221	0.004203083	0.000239138	346	1795
making a song from scratch! â€œLetâ€™s Play Houseâ€ by Beachcrimes	Beachcrimes	2024-01-25 21:41:36+00:00	10	21243113	581811	2654	0	PT43S	hd	FALSE	0.027513151	0.027388216	0.000124935	43	662
See Charlie Puth Break Down Emotional Hit Song, "Attention"	Rolling Stone	2017-10-03 20:11:46+00:00	24	17356389	380304	9954	0	PT6M35S	hd	FALSE	0.022484975	0.021911469	0.000573506	395	2967
Can autotune fix bad singingâ‰ï¸ âœ… #autotune #musicproducer #musicproduction 90 tutorial on WholeLoops	nashoverstreet	2025-01-28 23:54:28+00:00	10	17016244	694034	8328	0	PT1M21S	hd	FALSE	0.041275969	0.040786554	0.000489415	81	293
Students master DJing at The Audio Culture, guided by our amazing faculty! #dj  #music #producer	The Audio Culture Academy	2025-03-05 12:34:06+00:00	10	25928518	474279	332	0	PT54S	hd	FALSE	0.018304593	0.018291789	1.28E-05	54	257
YouTube chopping??? #flstudio #musicproduction #sampletypebeat	finley.mp3	2025-01-03 00:45:59+00:00	22	22210845	1045603	9399	0	PT11S	hd	FALSE	0.047499406	0.047076235	0.000423172	11	319
This is talent ðŸ”¥ #singing #hitsong #music #producer #lauv #studio #recording	MusiciangoodsTV	2025-06-10 15:06:43+00:00	27	26133059	902779	3799	0	PT20S	hd	FALSE	0.034690848	0.034545476	0.000145371	20	160
Dani Printul Banatului si Sorina Ceugea  - Poveste de strada ( Show Music Production )	Show Music Romania	2014-06-07 17:21:06+00:00	24	13011010	90012	1891	0	PT3M9S	hd	FALSE	0.007063479	0.00691814	0.000145338	189	4181
Origins of Famous PRODUCER Tags ðŸ”ŠðŸ”¥	Music Media	2025-01-27 18:50:50+00:00	10	14619883	805114	2423	0	PT46S	hd	FALSE	0.055235527	0.055069794	0.000165733	46	294
Music Producer Reacts to Doom Eternal	Emma Young	2023-04-18 19:11:29+00:00	10	10383837	349122	5166	0	PT15S	hd	FALSE	0.034119176	0.033621672	0.000497504	15	944
Back in the days #musicproducer #flstudio #musicproduction	finley.mp3	2025-05-27 11:22:57+00:00	22	21098627	478174	3136	0	PT10S	hd	FALSE	0.022812384	0.022663749	0.000148635	10	174
á€˜á€¯á€¶á€†á€­á€¯á€„á€ºá€œá€±á€¸á€™á€¾á€¬á€¡á€žá€Šá€ºá€¸á€œá€±á€¸á€€á€½á€²á€”á€±á€á€šá€º '' á€¡á€›á€¾á€¯á€¶á€¸á€žá€™á€¬á€¸á€–á€±á€¬á€ºá€á€²á€·á€†á€±á€¸ " á€žá€¬á€¸á€‚á€”á€ºá€¸ _ Than Tun Aung Music Production âœ”	Than Tun Aung (DJ Family)	2025-01-25 03:49:30+00:00	10	9437944	52065	939	0	PT3M31S	hd	FALSE	0.005616053	0.005516561	9.95E-05	211	297
How Much Producers CHARGE for Beats ðŸ¤¯ðŸ’µ	Music Media	2025-01-17 23:25:23+00:00	10	9785229	614805	1613	0	PT39S	hd	FALSE	0.062994738	0.062829898	0.00016484	39	304
This Is What Pure Talent Looks Like	Lutely	2025-06-23 20:35:12+00:00	10	14930043	306504	4436	0	PT45S	hd	FALSE	0.020826462	0.020529343	0.000297119	45	147
Music Producers Be Likeâ€¦	Chung4Real	2024-12-03 21:02:12+00:00	24	10350649	449814	4584	0	PT20S	hd	FALSE	0.043900431	0.043457561	0.000442871	20	349
How Charlie Puth Produced The Kid LAROI, Justin Bieber - "STAY"	HOW SONGS ARE PRODUCED	2024-08-06 14:20:31+00:00	10	6973645	249474	753	0	PT38S	hd	FALSE	0.035881804	0.035773826	0.000107978	38	468
Why Timbaland is The Greatest Music Producer of All Time	Daniel Wall	2024-10-01 01:00:27+00:00	10	8252329	262874	1773	0	PT37S	hd	FALSE	0.032069367	0.031854519	0.000214848	37	413
Making a #1 Hit Song in 7 minutes?! ðŸ¤”â˜• #sabrinacarpenter #espresso #music	Rick Reverie	2024-09-02 01:16:20+00:00	10	5851097	304865	2334	0	PT50S	hd	FALSE	0.052502795	0.052103896	0.000398899	50	442
Finally Cruise is yours! ðŸ¥¹ #newmusic #cruise #ohmyroya #songwriting #musicproduction	ROYA	2024-07-07 14:41:29+00:00	22	7870799	201805	3475	0	PT56S	hd	FALSE	0.026081212	0.025639706	0.000441505	56	498
How Industry Music Producers Steal Your Melodies ðŸ•µï¸â€â™‚ï¸	Busy Works Beats	2022-11-02 18:52:09+00:00	10	5926823	310101	2695	0	PT28S	hd	TRUE	0.052776327	0.052321614	0.000454712	28	1111
Pharrell was TOO High to Produce Stevie Wonder ðŸ¤£	Drum Plant	2024-12-06 21:04:41+00:00	10	5808651	393931	1203	0	PT51S	hd	FALSE	0.068025077	0.067817972	0.000207105	51	346
